,brand,model,product_name,price,rating,shipping,url
10,ASUS,RTX 2080,ASUS Dual GeForce RTX 2080 DirectX 12 DUAL-RTX2080-O8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$779.99 –,4,$75.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2080-dual-rtx2080-o8g-evo/p/N82E16814126339?Description=rtx
11,ASUS,RTX 2080,ASUS Dual GeForce RTX 2080 DirectX 12 DUAL-RTX2080-8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$759.99 –,4,$75.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2080-dual-rtx2080-8g-evo/p/N82E16814126340?Description=rtx
12,GIGABYTE,RTX 2080,GIGABYTE RTX 2080TI TURBO 11G GV-N208TTURBO-11GC Turbo Fan Cooling System gaming Video Card,"$1,830.00 –",,Free Shipping,https://www.newegg.com/p/1FT-000A-001B2?Description=rtx
13,EVGA,RTX 2080,"EVGA GeForce RTX 2080 Ti XC ULTRA GAMING, 11G-P4-2383-KR, 11GB GDDR6, Dual HDB Fans & RGB LED","$1,799.00 –",4,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2383-kr/p/N82E16814487401?Description=rtx
14,NVIDIA,RTX 2080,"NVIDIA - NVIDIA GeForce RTX 2080 Super 8GB GDDR6 PCI Express 3.0 Graphics Card - Black/Silver
9001G1802540000","$1,180.00 –",5,Free Shipping,https://www.newegg.com/p/1FT-0004-005R8?Description=rtx
15,EVGA,RTX 2080,"EVGA GeForce RTX 2080 SUPER BLACK GAMING, 08G-P4-3081-KR, 8GB GDDR6",$779.99 –,4,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2080-super-08g-p4-3081-kr/p/N82E16814487461?Description=rtx
16,EVGA,RTX 2080,"EVGA GeForce RTX 2080 SUPER KO GAMING Video Card, 08G-P4-2083-KR, 8GB GDDR6, Dual Fans",$749.99 –,5,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2080-super-08g-p4-2083-kr/p/N82E16814487498?Description=rtx
17,ASUS,RTX 2080,ASUS GeForce RTX 2080 O8G Dual-fan OC Edition GDDR6 DUAL-RTX2080-O8G GPU,$649.99 –,5,Free Shipping,https://www.newegg.com/p/1FT-000Y-001V5?Description=rtx
18,EVGA,RTX 2080,"EVGA GeForce RTX 2080 TI FTW3 ULTRA HYBRID GAMING, 11G-P4-2484-KR, 11GB GDDR6, RGB LED & iCX2 Technology - 9 Thermal Sensors","$1,799.00 –",5,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2484-kr/p/N82E16814487428?Description=rtx
19,GIGABYTE,RTX 2080,GIGABYTE GeForce RTX 2080 Ti DirectX 12 GV-N208TGAMING OC-11GC 11GB 352-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,$949.99 –,3,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208tgaming-oc-11gc/p/N82E16814932165?Description=rtx
20,MSI,RTX 2080,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 SUPER SEA HAWK X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,"$1,199.00 –",5,$4.95 Shipping,https://www.newegg.com/msi-geforce-rtx-2080-super-rtx-2080-super-sea-hawk-x/p/N82E16814137499?Description=rtx
21,EVGA,RTX 2080,"EVGA GeForce RTX 2080 XC GAMING, 08G-P4-2182-KR, 8GB GDDR6, Dual HDB Fans & RGB LED","$1,159.00 –",4,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2080-08g-p4-2182-kr/p/N82E16814487404?Description=rtx
22,NVIDIA,RTX 2080,NVIDIA GeForce RTX 2080 Ti Founders Edition 11GB GDDR6 PCI Express 3.0 Graphics Card with Free Battlefield V Combo,"$1,999.99 –",5,Free Shipping,https://www.newegg.com/p/1FT-0004-005C9?Description=rtx
23,GIGABYTE,RTX 2080,GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS WB-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,$759.99 –,,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208saorus-wb-8gc/p/N82E16814932351?Description=rtx
24,PNY,RTX 2080,PNY GeForce RTX 2080 Ti 11GB Blower Graphics Card,"$1,716.10 –",,$37.00 Shipping,https://www.newegg.com/pny-geforce-rtx-2080-ti-vcg2080t11blmpb/p/N82E16814133544?Description=rtx
25,GIGABYTE,RTX 2080,GIGABYTE AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS WB-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,026.78 –",,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208saorus-wb-8gc/p/N82E16814932273?Description=rtx
