,brand,model,product_name,rating,shipping,url
6,ZOTAC,GTX 1060,Zotac Geforce GTX 1060 6GB Mini ZT-P10600A-10L Gaming Video Graphics Card GPU,5,Free Shipping,https://www.newegg.com/zotac-geforce-gtx-1060-6gb-mini/p/1FT-000M-002C8?Description=GTX
7,MSI,GTX 1060,MSI GeForce GTX 1060 3GT Video Card,,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-3gt/p/N82E16814137245?Description=GTX
8,ASUS,GTX 1060,"ASUS Geforce GTX 1060 3GB Dual Fan Graphics Card | Fast Ship, Cleaned, Tested!",,Free Shipping,https://www.newegg.com/asus-dualgtx1060o3g/p/1FT-000Y-004S8?Description=GTX
9,EVGA,GTX 1060,"EVGA GeForce GTX 1060 SSC DT GAMING, 06G-P4-6265-KR, 6GB GDDR5, ACX 3.0 & LED",,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-06g-p4-6265-kr/p/1FT-001K-006U5?Description=GTX
10,PNY,GTX 1060,PNY GeForce GTX 1060 DirectX 12 RKMX1060N3H6ES2KTM 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card,,Free Shipping,https://www.newegg.com/pny-geforce-gtx-1060-rkmx1060n3h6es2ktm/p/N82E16814133789?Description=GTX
11,PNY,GTX 1060,PNY GeForce GTX 1060 6GB GDDR5 VCGGTX10606PB Video Card GPU,,Free Shipping,https://www.newegg.com/p/1FT-000P-003E7?Description=GTX
12,GIGABYTE,GTX 1060,Gigabyte GeForce GTX 1060 Windforce 3GB PCI-E x16 3.0 GDDR5 Graphics Card (GV-N1060WF2-3GD),,$3.94 Shipping,https://www.newegg.com/p/1FT-000A-00025?Description=GTX
13,EVGA,GTX 1060,EVGA GeForce GTX 1060 GAMING ACX 2.0 (Single Fan) 03G-P4-6160-KR 3GB GDDR5 DX12,,Special Shipping,https://www.newegg.com/p/1FT-001K-00107?Description=GTX
14,ASUS,GTX 1060,ASUS GeForce GTX 1060 6GB Turbo Video Card (TURBO-GTX1060-6G) Video Card GPU,,Free Shipping,https://www.newegg.com/p/1FT-000Y-001N7?Description=GTX
15,EVGA,GTX 1060,"EVGA GeForce GTX 1060 6GB GAMING ACX 3.0, 6GB GDDR5, LED, DX12 OSD Support (PXOC) Graphics Card 06G-P4-6262-KR",,Free Shipping,https://www.newegg.com/p/1FT-001K-00295?Description=GTX
16,Manli,GTX 1060,"Manli Geforce GTX 1060 6GB Gallardo Graphics Card | Fast Ship, Cleaned, Tested!",,Free Shipping,https://www.newegg.com/manli-mngtx1060g5rehdppp/p/1FT-009H-00002?Description=GTX
17,PNY,GTX 1060,"PNY GeForce GTX 1060 Graphic Card - 1.51 GHz Core - 1.71 GHz Boost Clock - 6 GB GDDR5 - PCI Express 3.0 x16 - Dual Slot Space Required - 192 bit Bus Width - Fan Cooler - DirectX 12, OpenGL 4.5 - 3 ...",,Free Shipping,https://www.newegg.com/p/1DW-000M-000S5?Description=GTX
18,EVGA,GTX 1060,"EVGA Geforce GTX 1060 6GB Mini Graphics Card | Fast Ship, Cleaned, Tested!",,Free Shipping,https://www.newegg.com/evga-06gp46161kr/p/1FT-001K-00CU3?Description=GTX
19,GIGABYTE,GTX 1060,Gigabyte GeForce GTX 1060 Windforce 6GB PCI-E x16 3.0 GDDR5 Graphics Card (GV-N1060WF2-6GD),,Free Shipping,https://www.newegg.com/p/1FT-000A-00031?Description=GTX
